filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Kmeln_ballads_546_Chervona kalyno;Червона калино;Chervona kalyno;09-БК-05;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;6+6;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 82-83, № 53.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 82-83, № 53. Вар. зап. 1975 р. Нагорний Л. С. у с.Баламутівка Яр-
молинецького р-ну Хмельницької обл. від матері.";;
Kmeln_ballads_546v_Chervona kalyno;Червона калино;Chervona kalyno;09-БК-05;1975;Нагорний Л. С.;с.Баламутівка Ярмолинецького р-ну Хмельницької обл.;від матері.;2 voices;woman;4+4+6;4st;-;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 82-83, № 53. Вар. зап. 1975 р. Нагорний Л. С. у с.Баламутівка Яр-
молинецького р-ну Хмельницької обл. від матері.";;
Kmeln_ballads_549_Oi u luzi pry kalyni;Ой у лузі при калині;Oi u luzi pry kalyni;09-БК-08;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Настина В.П.;single;woman;8+8;5st;Нотація Єфремової Л. О.;"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Нас-
тиної В.П. Нотація Єфремової Л. О.";;
Kmeln_ballads_551_Chy tobi, kovaliu;Чи тобі, ковале;Chy tobi, kovaliu;09-БК-11;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;-;single;;6+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 76, № 48.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 76, № 48.";;
Kmeln_ballads_552_Oi kovale, kovalenku;Ой ковале, коваленку;Oi kovale, kovalenku;09-БК-11;1974;Нагорний Л. С.;с. Карпівці Хмельницького р-ну Хмельницької обл.;Гніда Н. Д.;2 voices;woman;8+8;2st;-;Зап. 1974 р. Нагорний Л. С. у с. Карпівці Хмельницького р-ну Хмельницької обл. від Гнідої Н. Д.;;
Kmeln_ballads_553_Oi ty, kovaliu;Ой ти, ковале;Oi ty, kovaliu;09-БК-11;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;Розова Марія Василівна, 1930 р. н., Куцяк Олександра Миколаївна, 1922 р. н., Сухарева Марія Іллівна, 1930 р. н., Гуменюк Марія Улянівня, 1924 р. н.;single;group of women;5+6_r;6st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 141-142 (текст), 
арк. 249 (мел.), № 98. Нотація Мишанича М. В.";"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н., Сухаревої Марії Іллівни, 
1930 р. н. і Гуменюк Марії Улянівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 141-142 (текст), 
арк. 249 (мел.), № 98. Нотація Мишанича М. В.";;
Kmeln_ballads_556_Na yaponskim bierehu;На японськім березі;Na yaponskim bierehu;09-БК-13;2004;Панчук Оксана;с. Ключівка Красилівського р-ну Хмельницької обл.;Кононюк Ганна Федорівна, 1923 р. н.;single;woman;7+6_r;6st;Касета № 5, ст. А, № 21. Розшифр. Єфремової Л. О., № 100.;"Зап. у серпні 2004 р. Панчук О. В. у с. Ключівка Красилівського р-ну Хмельницької обл. від Коно-
нюк Ганни Федорівни, 1923 р. н. – Касета № 5, ст. А, № 21. Розшифр. Єфремової Л. О., № 100.";Касета № 5, ст. А, № 21.;
Kmeln_ballads_557_Yikhav kozak dolynoiu;Їхав козак долиною;Yikhav kozak dolynoiu;10-БК-02;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Щесняк Н. І., 1937 р. н. ;single;woman;8+8;4st;Нотація Єфремової Л. О.;"Зап. 28 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1937 р. н. Нотація Єфремової Л. О.";;
Kmeln_ballads_558_Molodyi kozache;Молодий козаче;Molodyi kozache;10-БК-04+08-БК-11;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;-;single;;6+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 91, № 60.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
–.ІМФЕ, ф. 6-4, од. зб. 119, арк. 91, № 60.";;
Kmeln_ballads_559_Ne khody, kozache;Не ходи, козаче;Ne khody, kozache;10-БК-04;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;-;single;;6+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 27, № 15.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 27, № 15. Вар. зап. 1980 р. Нагорний Л. С. у с. Баламутівка Ярмо-
линецького р-ну Хмельницької обл.";;
Kmeln_ballads_559v_Ne khody, kozache;Не ходи, козаче ;Ne khody, kozache;10-БК-04;1980;Нагорний Л. С.;"с. Баламутівка Ярмо-
линецького р-ну Хмельницької обл.";-;2 voices;;6+6_r;6st;-;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 27, № 15. Вар. зап. 1980 р. Нагорний Л. С. у с. Баламутівка Ярмо-
линецького р-ну Хмельницької обл.";;
Kmeln_ballads_560_Oi u sadu vyshnia;Ой у саду вишня;Oi u sadu vyshnia;10-БК-04;1928;Харків Володимир;с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.).;-;2 voices;;6+6_r;8st;"ІМФЕ, ф. 6-3, од.зб. 77, текст – арк. 161-162 (134-
135), мел. – арк. 163 (136),  № 81. ";"Зап. 1927-1928 рр. Харків В. Й. у с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’я-
нець-Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, од.зб. 77, текст – арк. 161-162 (134-
135), мел. – арк. 163 (136),  № 81. Вар. зап. 1927-1928 рр. Харків В. Й. у с. Княгинин Жванецького 
р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, 
од.зб. 77, вар. мел. – арк. 163 (136),  № 82.";;
Kmeln_ballads_560v_Oi u sadu vyshnia;Ой у саду вишня;Oi u sadu vyshnia;10-БК-04;1928;Харків Володимир;с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.).;-;2 voices;;6+6;8st;ІМФЕ, ф. 6-3, од.зб. 77, вар. мел. – арк. 163 (136),  № 82.;"Зап. 1927-1928 рр. Харків В. Й. у с. Княгинин Жванецького р-ну Кам’янецької окр. (нині Кам’я-
нець-Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, од.зб. 77, текст – арк. 161-162 (134-
135), мел. – арк. 163 (136),  № 81. Вар. зап. 1927-1928 рр. Харків В. Й. у с. Княгинин Жванецького 
р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, 
од.зб. 77, вар. мел. – арк. 163 (136),  № 82.";;
Kmeln_ballads_561_Oi ty, divchyno;Ой ти, дівчино;Oi ty, divchyno;11-БК-01;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;women;5+6;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 72, № 45.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 72, № 45.";;
Kmeln_ballads_562_Shcho ty robysh;Що ти робиш;Shcho ty robysh;11-БК-01;1918;Постоловський А.;с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;women;4+4+3;6st;- ІМФЕ, ф. 6-4, од. зб. 119, арк. 30, № 17.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 30, № 17.";;
Kmeln_ballads_563_Ya z suboty;Я з суботи;Ya z suboty;11-БК-02;1928;Харків Володимир;с. Борсуки Новоушицького р-ну Хмельницької обл.;-;single;;4+4+3;6st;"ІМФЕ, ф. 6-3, од. зб.
81, арк. 124 (текст), арк. 128 (мел.), № 45.";"Зап. 1928 р. Харків В. у с. Борсуки Новоушицького р-ну Хмельницької обл. – ІМФЕ, ф. 6-3, од. зб.
81, арк. 124 (текст), арк. 128 (мел.), № 45.";;
Kmeln_ballads_565_Shcho ty robysh;Що ти робиш;Shcho ty robysh;11-БК-02;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина ;м.Кам’янець-Подільський Хмельницької обл.;Шипіна Н.;single;woman;4+4+3_r;9st;"ІМФЕ, ф. 14-5, од. зб. 419, арк. 302-304, пл. ф. 
14-10, од. зб. 1184 (1). Нотація Іванова В. Ф. ";"Зап. 25.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Шипіної Н. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 302-304, пл. ф. 
14-10, од. зб. 1184 (1). Нотація Іванова В. Ф. ";;
Kmeln_ballads_566_Ya v horodi Bohuslavi;Я в городі Богуславі;Ya v horodi Bohuslavi;11-БК-03;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;"Гарнець 
Надія Миколаївна, 1912 р. н.";single;woman;8+6_r;6st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 123 (текст), арк. 246 (мел. розш. 
Мишанич М. В.), № 87.";"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гарнець 
Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 123 (текст), арк. 246 (мел. розш. 
Мишанич М. В.), № 87.";;
Kmeln_ballads_567_Oi stoiav ya pid verboiu;Ой стояв я під вербою;Oi stoiav ya pid verboiu;11-БК-03;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;8+8_r;8st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 44, № 25.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 44, № 25.";;
Kmeln_ballads_568_Oi u poli ozerechko;Ой у полі озеречко;Oi u poli ozerechko;11-БР-05;1924;Кудрицька А. М.;"с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.)";Максимчук Хима Якимовна;single;woman;8+8;4st;"ІМФЕ, ф. 6-4, од. зб. 
110, арк. 114 (текст), арк. 162 (мел.).";"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Хими Якимовни Максимчук, родом з с. Великий Чернятин Він-
ницької окр. на Поділлі (нині Старокостянтинівського р-ну Хмельницької обл.). Більшість пісень, 
проспіваних мені нею, вона перейняла від своєї бабуні в Чернятині. (А. К.) – ІМФЕ, ф. 6-4, од. зб. 
110, арк. 114 (текст), арк. 162 (мел.).";;
Kmeln_ballads_570_Oi u poli ozerechko;Ой у полі озеречко;Oi u poli ozerechko;11-БР-05;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина;м. Кам’янець-Подільський Хмельницької обл.;Руденко М.;single;;8+8_r;6st;"ІМФЕ, ф. 14-5, од. зб. 419, арк. 258-260, пл. ф. 
14-10, од. зб. 1183 (8). Нотація Іванова В. Ф. ";"Зап. 23.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Руденко М. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 258-260, пл. ф. 
14-10, од. зб. 1183 (8). Нотація Іванова В. Ф. ";;
Kmeln_ballads_571_Ty, misiatsiu-perekroiu;Ти, місяцю-перекрою;Ty, misiatsiu-perekroiu;11-БР-05;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина;с. Патринці Кам’янець-Подільського р-ну Хмельницької обл.;гурт;2 voices;group of singers;8+8_r;8st;"ІМФЕ, ф. 14-5, од. зб. 419, арк. 
47-48, пл. ф. 14-10, од. зб. 1177 (24). Нотація Ю. Василенка.";"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
47-48, пл. ф. 14-10, од. зб. 1177 (24). Нотація Ю. Василенка. Вар. зап. Іванов В. у с. Стара Ушиця
Кам’янець-Подільського р-ну від Івануник Люби, 1946 р. н. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 10. ";;
Kmeln_ballads_571v_Ty, misiatsiu-perekroiu;Ти, місяцю-перекрою;Ty, misiatsiu-perekroiu;11-БР-05;1971;Іванов В.;с. Стара Ушиця Кам’янець-Подільського р-ну;Івануник Люба, 1946 р. н.;single;woman;8+8_r;8st;ІМФЕ, ф. 14-3, од. зб. 1093, арк. 10.;"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
47-48, пл. ф. 14-10, од. зб. 1177 (24). Нотація Ю. Василенка. Вар. зап. Іванов В. у с. Стара Ушиця
Кам’янець-Подільського р-ну від Івануник Люби, 1946 р. н. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 10.";;
Kmeln_ballads_573_Oi poikhav mii mylyi;Ой поїхав мій милий;Oi poikhav mii mylyi;11-БР-08;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина;м.Кам’янець-Подільський;Сис Тамара Андріївна, 1913 р. н.;single;woman;7+7+5;5st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 106-107, пл. ф. 14-10, од. зб. 1180 (7). Нотація З. Василенко.;"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м Кам’я-
нець-Подільський від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 106-107, пл. ф. 14-10, од. зб. 1180 (7). Нотація З. Василенко.";;
Kmeln_ballads_575_Oi vyidu ya na horu;Ой виїду я на гору;Oi vyidu ya na horu;11-БР-10;1918;Постоловський А.;с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;women;7+7+7;3st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 109, № 74.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 109, № 74. Вар. зап. Струтинський О. Д. у с.
Сенігів Шепетівського р-ну Хмельницької обл. від Осінської Броніслави Мартинівни. – ІМФЕ,
ф. 14-3, од. зб. 860, арк. 194. ";;
Kmeln_ballads_576_Khodyt Ivan ponad lyman;Ходить Іван понад лиман;Khodyt Ivan ponad lyman;13-БР-01;1926;Гайдай Михайло;"с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.)";Сухорибова Гануся, 19 р., 1907 р.н.;single;girl;8+9;3st;ІМФЕ, ф. 6-3, од. зб. 69, арк. 25 (13), № 35.;"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Ганусі Сухорибової, 19 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 25 (13), № 35.";;
Kmeln_ballads_577_Khody Ivan ponad Dunai;Ходить Іван понад Дунай;Khody Ivan ponad Dunai;13-БР-01;1927;Харків Володимир;с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл.;Параска Сікуриха, 70 р.;single;woman;8+6;2st;ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 56 (46), мел. – арк. 59 (49), № 42. ;"Зап. 1927 р. Харків В. у с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл. від Парас-
ки Сікурихи, 70 р. – ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 56 (46), мел. – арк. 59 (49), № 42. Вар. 1 
зап. 1927-1928 рр. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від Балашевич Домни, 13 р. – ІМФЕ, ф.6-3, од.зб. 77, арк. 
112 (91), № 24. Вар. 2 зап. Харків В. у с. Борсуки  Новоушицького р-ну від Ткачука Мехтодія, 50 р. 
– ІМФЕ, ф. 6-4, од. зб. 193, арк. 31. Розш. Онопа Т.";;
Kmeln_ballads_578_Oi piana ya, azh valiusia;Ой п'яна я, аж валюся;Oi piana ya, azh valiusia;13-БР-01а;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки.;single;women;8+8+8;3st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 126, № 85.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 126, № 85.";;
Kmeln_ballads_580v_Mala maty odnu dochku;Мала мати одну дочку;Mala maty odnu dochku;13-БР-01б;1926;Гайдай Михайло;с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької обл.);Васькін Іван;single;man;8+8+8;3st;ІМФЕ, ф. 6-3, од. зб. 69, арк. 28 (14 зв.), № 40.;"Зап. у серпні 2003 р. Панчук О. В. у с. Гриців Шепетівського р-ну Хмельницької обл. від Панчук 
Марії Пилипівни, 1936 р. н. – Касета № 2, ст. А, № 5. Нотація та ред. тексту Єфремової Л. О. № 26.
Вар. зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 28 (14 зв.), № 40.";;
Kmeln_ballads_581_Posiiu shalviiu;Посію шавлію;Posiiu shalviiu;13-БР-03;1963;експ. ІМФЕ, начальник Ященко Леопольд;c. Блищанівка Дунаєвецького р-ну Хмельницької обл.;-;2 voices;;6+6_r;6st;ІМФЕ, ф. 14-5, од. зб. 380, арк. 139-141, № 64.;"Зап. 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Блищанівка Дунаєвецького р-ну Хмельницької обл. 
– ІМФЕ, ф. 14-5, од. зб. 380, арк. 139-141, № 64. Вар. зап. Конощенко А. у с. Калюс Новоушицько-
го р-ну Хмельницької обл. від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 45 (зв.), № 81.";;
Kmeln_ballads_581v_Posiiu shalviiu;Посію шавлію;Posiiu shalviiu;13-БР-03;-;Конощенко Андрій;с. Калюс Новоушицького р-ну Хмельницької обл.;Коротан Никифор;single;man;6+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 148, арк. 45 (зв.), № 81.;"Зап. 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Блищанівка Дунаєвецького р-ну Хмельницької обл. 
– ІМФЕ, ф. 14-5, од. зб. 380, арк. 139-141, № 64. Вар. зап. Конощенко А. у с. Калюс Новоушицько-
го р-ну Хмельницької обл. від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 45 (зв.), № 81.";;
Kmeln_ballads_582_y Posiiu shalviiu;Посію шавлію;y Posiiu shalviiu;13-БР-03;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина;с. Патринці Кам’янець-Подільського р-ну Хмельницької обл.;Горошок Ганна Миколаївна, 1923 р. н. ;single;;6+6_r;6st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 51-52, пл. ф. 14-10, од. зб. 1178 (2). Нотація Ю. Василенка. ;"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від Горошок Ганни Миколаївни, 1923 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 51-52, пл. ф. 14-10, од. зб. 1178 (2). Нотація Ю. Василенка. ";;
Kmeln_ballads_583_i Posiiu shalviiu;Посію шавлію;i Posiiu shalviiu;13-БР-03;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;"Розова 
Марія Василівна, 1930 р. н., Куцяк Олександра Миколаївна, 1922 р. н., Сухарева Марія Іллівна, 
1930 р. н., Гуменюк Марія Улянівна, 1924 р. н.";single;group of women;6+6_r;6st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 138 (текст), арк. 
248 (мел.), № 95. Нотація Мишанича М. В.";"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н., Сухаревої Марії Іллівни, 
1930 р. н. і Гуменюк Марії Улянівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 138 (текст), арк. 
248 (мел.), № 95. Нотація Мишанича М. В.";;
Kmeln_ballads_584_Dala-s mene, mamtsiu;Дала-с мене, мамцю;Dala-s mene, mamtsiu;13-БР-03;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;6+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк.106, № 72.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.106, № 72. Вар. зап. Харків В. у с. Борсуки  Новоушицького р-ну 
від Ткачука Мехтодія, 50 р. – ІМФЕ, ф. 6-4, од. зб. 193, арк. 30. Розшифрувала Онопа Т.";;
Kmeln_ballads_584v_Dala-s mene, mamtsiu;Дала-с мене, мамцю;Dala-s mene, mamtsiu;13-БР-03;-;Харків Володимир;с. Борсуки  Новоушицького р-ну;Ткачук Мехтодій, 50 р.;single;man;8+6;4st;ІМФЕ, ф. 6-4, од. зб. 193, арк. 30. Розш. Онопа Т.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.106, № 72. Вар. зап. Харків В. у с. Борсуки  Новоушицького р-ну 
від Ткачука Мехтодія, 50 р. – ІМФЕ, ф. 6-4, од. зб. 193, арк. 30. Розш. Онопа Т.";;
Kmeln_ballads_585_Dala-s mene, moia nenko;Дала-с мене, моя ненько;Dala-s mene, moia nenko;13-БР-04;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;"Розова 
Марія Василівна, 1930 р. н.";single;woman;8+6;4st;ІМФЕ, ф. 14-3, од. зб. 973, арк. 147-148 (текст), арк. 251 (мел.), №102. Нотація Мишанича М. В.;"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 147-148 (текст), арк. 251 (мел.), № 
102. Нотація Мишанича М. В.";;
Kmeln_ballads_586_i Dala-s mene moia maty;Дала-с мене, моя мати;i Dala-s mene moia maty;13-БР-04;1978;Дем’ян Григорій;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Мазур Ольга Федорівна, 1924 р. н.;single;woman;8+6;4st;"ІМФЕ, ф. 14-3, од.зб. 973, арк. 60-61 (текст), арк. 
233 (мел.), № 42. Нотація Мишанича М. В.";"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької 
обл. від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 60-61 (текст), арк. 
233 (мел.), № 42. Нотація Мишанича М. В.";;
Kmeln_ballads_587_Oi pidu ya v lis po drova;Ой піду я в ліс по дрова;Oi pidu ya v lis po drova;13-БР-06;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;8+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк.104, № 70.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.104, № 70.";;
Kmeln_ballads_588_Oi tam za horoiu;Ой там за горою;Oi tam za horoiu;13-БР-06;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;6+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк.111, № 75.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.111, № 75.";;
Kmeln_ballads_590_Oi pidu ya v lis po drova;Ой піду я в ліс по дрова;Oi pidu ya v lis po drova;13-БР-06;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина, Спінатьєв В. Т. ;м.Кам’янець-Подільський Хмельницької обл.;Стрілецька Параска Михайлівна, 1902 р. н.;single;woman;8+6;4st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 128-130, пл. ф. 14-10, од. зб. 1181 (5). Нотація Іванова В. Ф.;"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 128-130, пл. ф. 14-10, од. зб. 1181 (5). Нотація Іванова В. Ф.";;
