Filename	Name in catalogue	Original title	Transliterated title	Type	Subtype	Subsubtype	Year	Collector	Performer	Number of voices	Performer gender or age	Audio recording	Archive reference	Additional remarks	Place	Contemporary_address	Latitude	Longitude	Address translated	Original metadata	SongName
Kmeln_ballads_633_Ya v svoiei matinky	17-БР-01г	Я в своєї матінки	Ya v svoiei matinky	Non-ritual	Ballad	БР	1975	Нагорний Л. С.	"Руська 
Марія Іванівна"	2 voices	woman		-		с.Баламутівка Ярмолинецького р-ну Хмельницької обл.	с. Баламутівка Ярмолинецького р-ну Хмельницької обл.	49.3125166	27.0448939	Balamutivka, Khmelnytskyi Oblast, Ukraine, 32122	"Зап. 1975 р. Нагорний Л. С. у с.Баламутівка Ярмолинецького р-ну Хмельницької обл. від Руської 
Марії Іванівни."	Kmeln_ballads_633_Ya v svoiei matinky
Kmeln_ballads_634_Oi z-za hory, hory	17-БР-01	Ой з-за гори, гори	Oi z-za hory, hory	Non-ritual	Ballad	БР	1971	Експедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина, Спінатьєв Василь)	Стрілецька Параска Михайлівна, 1902 р. н., Руденко М., Шипіна H.	2 voices	women		ІМФЕ, ф. 14-5, од. зб. 419, арк. 230-232, пл. ф. 14-10, од. зб. 1182 (26). Нотація Іванова В. Ф. 		м.Кам’янець-Подільський Хмельницької обл.	м Кам’янець-Подільський Хмельницької обл.	48.6967162	26.5825364	Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Ukraine	"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В., 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н., 
Руденко М., Шипіної H. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 230-232, пл. ф. 14-10, од. зб. 1182 (26). 
Нотація Іванова В. Ф. "	Kmeln_ballads_634_Oi z-za hory, hory
Kmeln_ballads_636_Akh, yakby ya mamu mala	19-БР-06	Ах, якби я маму мала	Akh, yakby ya mamu mala	Non-ritual	Ballad	БР	1971	Експедиція ІМФЕ (Шумада Наталя, Іванов Володимир, Довженок Галина, Спінатьєв Василь)	Миcловської К.	unison	woman		ІМФЕ, ф. 14-5, од. зб. 419, арк. 221-223, пл. ф. 14-10, од. зб. 1182 (20). Нотація Іванова В. Ф. 		м.Кам’янець-Подільський Хмельницької обл.	м Кам’янець-Подільський Хмельницької обл.	48.6967162	26.5825364	Kam'yanets'-Podil's'kyi, Khmelnytskyi Oblast, Ukraine	"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Ф. 
у м. Кам’янець-Подільський Хмельницької обл. від Миcловської К. – ІМФЕ, ф. 14-5, од. зб. 419, 
арк. 221-223, пл. ф. 14-10, од. зб. 1182 (20). Нотація Іванова В. Ф. "	Kmeln_ballads_636_Akh, yakby ya mamu mala
Kmeln_ballads_638_Oi letila zazulechka	19-БР-06	Ой летіла зозулечка	Oi letila zazulechka	Non-ritual	Ballad	БР	1971	Шумада Наталя, Іванов Володимир, Довженок Галина	від гурту.	unison	group of singers		"ІМФЕ, ф. 14-5, од. зб. 419, арк. 
45-46, пл. ф. 14-10, од. зб. 1177 (23). Нотація Ю. Василенка. "	Виконують на весіллі сироті.	с. Патринці Кам’янець-Подільського р-ну Хмельницької обл.	с. Патринці Кам’янець-Подільського р-ну Хмельницької обл.	48.6396574	26.8570159	Patryntsi, Khmelnytskyi Oblast, Ukraine, 32396	"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
45-46, пл. ф. 14-10, од. зб. 1177 (23). Нотація Ю. Василенка. Виконують на весіллі сироті."	Kmeln_ballads_638_Oi letila zazulechka
Kmeln_ballads_639_Oi letila zazulyna	19-БР-06	Ой летіла зозулина	Oi letila zazulyna	Non-ritual	Ballad	БР	1978	Дем’ян Григорій	Розова Марія Василівна, 1930 р. н., Куцяк Олександра Миколаївна, 1922 р. н., Сухарева Марія Іллівна, 1930 р. н.	unison	women		ІМФЕ, ф. 14-3, од. зб. 973, арк. 111-112 (текст), арк. 243 (мел.), № 78. Нотація Мишанича М. В.		с. Лоївці Новоушицького р-ну	с. Лоївці Новоушицького р-ну	48.6101	27.23421	Loevtsi, Vinnytsia Oblast, Ukraine (does not exist, was flooded in 1981)	"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну від Розової Марії Василівни, 
1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 1930 р. н. – ІМФЕ, 
ф. 14-3, од. зб. 973, арк. 111-112 (текст), арк. 243 (мел.), № 78. Нотація Мишанича М. В."	Kmeln_ballads_639_Oi letila zazulyna
Kmeln_ballads_640_i Oi letila zozulenka	19-БР-06	Ой летіла зозуленька	i Oi letila zozulenka	Non-ritual	Ballad	БР	1978	Дем’ян Григорій	Буймистер Ганна Іванівна, 1929 р. н.	unison	woman		ІМФЕ, ф. 14-3, од. зб. 973, арк. 74 (текст), арк. 235 (мел.), № 52. Нотація Мишанича М. В.		с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.	с. Студениця Кам’янець-Подільського р-ну Хмельницькоїобл.	48.74781810411996	26.90168393057352	Studenytsya River, Khmelnytskyi Oblast, Ukraine	"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Буймистер Ганни Іванівни, 1929 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 74 (текст), арк. 235 
(мел.), № 52. Нотація Мишанича М. В."	Kmeln_ballads_640_i Oi letila zozulenka
Kmeln_ballads_641_Oi letila zozulenka	19-БР-06	Ой летіла зозуленька	Oi letila zozulenka	Non-ritual	Ballad	БР	2006	Сигидин Марина	Бучацька Ольга Іванівна, 1931 р. н.	2 voices	woman		Розшифр. Єфремова Л. О., № 7.		с. Липи Кам’янець-Подільського р-ну Хмельницької обл.	с. Липи Кам’янець-Подільського р-ну Хмельницької обл.	48.71792840000001	27.0419472	Lypy, Khmelnytskyi Oblast, Ukraine, 32384	"Зап. 17 грудня 2006 р. Сигидин М. А. у с. Липи Кам’янець-Подільського р-ну Хмельницької обл. 
від Бучацької Ольги Іванівни, 1931 р. н. Розшифр. Єфремова Л. О., № 7."	Kmeln_ballads_641_Oi letila zozulenka
Vinnytsia_ballads_542_Oj z-za hory, z-za hory	04-БК-01	Ой з-за гори, з-за гори	Oj z-za hory, z-za hory	Non-ritual	Ballad	БК	2018	Гарбулінська Тетяна	З фондів Вінницького ОЦНТ	unison			Розшифр. Єфремова Л. О., № 14 (121). Зазначено, що жартівлива.		с. Бджільна Теплицького р-ну Вінницької обл.	с. Бджільна Теплицького р-ну Вінницької обл.	48.62029450000001	29.747577	Bdzhil'na, Vinnytsia Oblast, Ukraine, 23840	"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. З фон-
дів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 14 (121). Зазначено, що жартівлива. Вар. зап. 
1951 р. Василенко З. І. у м. Бершадь Бершадського р-ну Вінницької обл. від Томашевич Надії. – 
ІМФЕ, ф. 14-5, од. зб. 243, арк. 79."	Vinnytsia_ballads_542_Oj z-za hory, z-za hory
Vinnytsia_ballads_542v_Oj z-za hory, z-za hory	04-БК-01	Ой з-за гори, з-за гори	Oj z-za hory, z-za hory	Non-ritual	Ballad	БК	1951	Василенко З. І.	Томашевич Надії.	unison			"– 
ІМФЕ, ф. 14-5, од. зб. 243, арк. 79."		м. Бершадь Бершадського р-ну Вінницької обл.	м. Бершадь Бершадського р-ну Вінницької обл.	48.368954	29.5331654	Bershad', Vinnytsia Oblast, Ukraine, 24400	"Зап. 30 березня 2018 р. Гарбулінська Т. Є. у с. Бджільна Теплицького р-ну Вінницької обл. З фон-
дів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 14 (121). Зазначено, що жартівлива. Вар. зап. 
1951 р. Василенко З. І. у м. Бершадь Бершадського р-ну Вінницької обл. від Томашевич Надії. – 
ІМФЕ, ф. 14-5, од. зб. 243, арк. 79."	Vinnytsia_ballads_542v_Oj z-za hory, z-za hory
Vinnytsia_ballads_543_Na tim botsi na tolotsi	04-БК-02	На тім боці на толоці	Na tim botsi na tolotsi	Non-ritual	Ballad	БК	2008	Кушка Т. Я., Матіяш Д. В.	Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П., Дишкант М. К., Воронюк Г. М.	2 voices			Розшифр. Єфремова Л. О. № 47 (502).		с. Іванів Калинівського р-ну Вінницької обл.	с. Іванів Калинівсько-го р-ну Вінницької обл.	49.4858758	28.3417585	Ivaniv, Vinnytsia Oblast, Ukraine, 22432	"Зап. у 10.06 2008 р. Кушка Т. Я., Матіяш Д. В. у с. Іванів Калинівсько-
го р-ну Вінницької обл. від Кисляк Л. М., Висоцької Г. М., Пашкевич 
Г. Д., Гончарук Н. П., Дишкант М. К., Воронюк Г. М. Розшифр. Єфре-
мова Л. О. № 47 (502)."	Vinnytsia_ballads_543_Na tim botsi na tolotsi
Vinnytsia_ballads_544_Ne sijala, ne orala	04-БК-02+04-ЛК-02	Не сіяла, не орала	Ne sijala, ne orala	Non-ritual	Ballad	БК, ЛК	-	Гарбулінська Тетяна	"від фольк. анс. ""Берегиня"""	2 voices			З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 4 (144).		с. Бирлівка Бершадського р-ну Вінницької обл. 	с. Бирлівка Бершадського р-ну Вінницької обл.	48.3741129	29.4565425	Byrlivka, Vinnytsia Oblast, Ukraine, 24414	"Зап. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського р-ну Вінницької обл. 
З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 4 (144). Вар. зап. Бідюк Л. М. у с. Си-
ваківці  Липовецького р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 40 (305)."	Vinnytsia_ballads_544_Ne sijala, ne orala
Vinnytsia_ballads_544v_Ne sijala, ne orala	04-БК-02+04-ЛК-02	Не сіяла, не орала	Ne sijala, ne orala	Non-ritual	Ballad	БК, ЛК	-	Бідюк Л. М.	від гурту.	2 voices			Розшифр. Єфремова Л. О., № 40 (305).		с. Сиваківці  Липовецького р-ну Вінницької обл.	с. Сиваківці Липовецького р-ну Вінницької обл.	49.32703799999999	28.6661382	Syvakivtsi, Vinnytsia Oblast, Ukraine, 22514	"Зап. Гарбулінська Т. Є. від фольк. анс. ""Берегиня"" з с. Бирлівка Бершадського р-ну Вінницької обл. 
З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 4 (144). Вар. зап. Бідюк Л. М. у с. Си-
ваківці  Липовецького р-ну Вінницької обл. від гурту. Розшифр. Єфремова Л. О., № 40 (305)."	Vinnytsia_ballads_544v_Ne sijala, ne orala
Vinnytsia_ballads_545_Oj ishov ja, jshov ja	04-БК-03	Ой ішов я, ішов я	Oj ishov ja, jshov ja	Non-ritual	Ballad	БК	-	Кушка Т. Я., Матіяш Д. В.	-	2 voices			Розшифр. Єфремова Л. О. № 41 (421).		с. Устя Бершадського р-ну Вінницької обл. 	с. Устя Бершадського р-ну Віницької обл.	48.3786637	29.6728751	Ustya, Vinnytsia Oblast, Ukraine, 24453	"Зап. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова 
Л. О. № 41 (421). Вар. зап. вони ж у с. Іванів Калинівського р-ну Вінницької обл. від Кисляк Л. 
М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П, Дишкант М. К., Воронюк Г. М. № 7 (522)."	Vinnytsia_ballads_545_Oj ishov ja, jshov ja
Vinnytsia_ballads_545v_Oj ishov ja, jshov ja	04-БК-03	Ой ішов я, ішов я	Oj ishov ja, jshov ja	Non-ritual	Ballad	БК	-	Кушка Т. Я., Матіяш Д. В.	Кисляк Л. М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П, Дишкант М. К., Воронюк Г. М.	2 voices			№ 7 (522).		с. Іванів Калинівського р-ну Вінницької обл.	с. Іванів Калинівсько-го р-ну Вінницької обл.	49.4858758	28.3417585	Ivaniv, Vinnytsia Oblast, Ukraine, 22432	"Зап. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова 
Л. О. № 41 (421). Вар. зап. вони ж у с. Іванів Калинівського р-ну Вінницької обл. від Кисляк Л. 
М., Висоцької Г. М., Пашкевич Г. Д., Гончарук Н. П, Дишкант М. К., Воронюк Г. М. № 7 (522)."	Vinnytsia_ballads_545v_Oj ishov ja, jshov ja
Vinnytsia_ballads_546_U poli hora	04-БК	У полі гора	U poli hora	Non-ritual	Ballad	БК	1922	Кудрицька А. М.	Дарки Нагірної, 46 р.	unison			"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 48 
(текст), арк. 141 (мел.)."		с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 48 
(текст), арк. 141 (мел.)."	Vinnytsia_ballads_546_U poli hora
Vinnytsia_ballads_547_Oj ty, Hrytsju, Hrytsju	04-БК-04	Ой ти, Грицю, Грицю	Oj ty, Hrytsju, Hrytsju	Non-ritual	Ballad	БК	1922	Кудрицька А. М.	Дарки Нагірної, 46 р.	unison			"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 31-32 
(текст), арк. 137 (мел.)."		с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 31-32 
(текст), арк. 137 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського р-ну Він-
ницької обл. від Мельника Петра Я., 1895 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/І, арк. 3, № 3."	Vinnytsia_ballads_547_Oj ty, Hrytsju, Hrytsju
Vinnytsia_ballads_547v_Oj ty, Hrytsju, Hrytsju	04-БК-04	Ой ти, Грицю, Грицю	Oj ty, Hrytsju, Hrytsju	Non-ritual	Ballad	БК	1971	Мельник П. Я.	Мельника Петра Я., 1895 р. н.	2 voices			– ІМФЕ, ф. 14-3, од. зб. 907/І, арк. 3, № 3.		с. Коси Могилів-Подільського р-ну Вінницької обл.	с. Коси Могилів-Поділь-ського р-ну Вінницької обл.	48.4584391	27.7929285	Mohyliv-Podil's'kyi, Vinnytsia Oblast, Ukraine	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної, 46 р. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 31-32 
(текст), арк. 137 (мел.). Вар. зап. 1971 р. Мельник П. Я. у с. Коси Могилів-Подільського р-ну Він-
ницької обл. від Мельника Петра Я., 1895 р. н. – ІМФЕ, ф. 14-3, од. зб. 907/І, арк. 3, № 3."	Vinnytsia_ballads_547v_Oj ty, Hrytsju, Hrytsju
Vinnytsia_ballads_548_Oj letila zozulen'ka	04-БК-05	Ой летіла зозуленька	Oj letila zozulen'ka	Non-ritual	Ballad	БК	1924	Кудрицька А. М.	Дарки Іванівни Чекини.	unison			"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 105 
(текст), арк. 162 (мел.)."		с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Дарки Іванівни Чекини. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 105 
(текст), арк. 162 (мел.)."	Vinnytsia_ballads_548_Oj letila zozulen'ka
Vinnytsia_ballads_549_Oj chyye to pole	04-БК-05	Ой чиє то поле	Oj chyye to pole	Non-ritual	Ballad	БК	2007	Кушка Т. Я., Матіяш Д. В.	від гурту.	2 voices			Розшифр. Єфремова Л. О. № 42 (422).		с. Устя Бершадського р-ну Вінницької обл.	с. Устя Бершадського р-ну Віницької обл.	48.3786637	29.6728751	Ustya, Vinnytsia Oblast, Ukraine, 24453	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 42 (422). Вар. зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Іваш-
ківці Шаргородського р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 39 (139). "	Vinnytsia_ballads_549_Oj chyye to pole
Vinnytsia_ballads_549v_Oj chyye to pole	04-БК-05	Ой чиє то поле	Oj chyye to pole	Non-ritual	Ballad	БК	2009	Кушка Т. Я., Матіяш Д. В.	від гурту.	2 voices			Розшифр. Єфремова Л. О., № 39 (139). 		с. Івашківці Шаргородського р-ну Вінницької обл.	с. Івашківці Шаргородського р-ну Вінницької обл.	48.7450681	27.9508684	Ivashkivtsi, Vinnytsia Oblast, Ukraine, 23516	"Зап. у лютому 2007 р. Кушка Т. Я., Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. від 
гурту. Розшифр. Єфремова Л. О. № 42 (422). Вар. зап. 11.05 2009 р. Матіяш Д., Кушка Т. у с. Іваш-
ківці Шаргородського р-ну Вінницької обл. від гурту Розшифр. Єфремова Л. О., № 39 (139). "	Vinnytsia_ballads_549v_Oj chyye to pole
Vinnytsia_ballads_550_Oj u sadu vyshnja	04-БК-05а	Ой у саду вишня	Oj u sadu vyshnja	Non-ritual	Ballad	БК	-	Кудрицька А. М.	Саврони Криволапи	unison			– ІМФЕ, ф. 6-4, од. зб. 111, арк. 35 (53-54), № 11.		с. Збраж  на Київщині (нині Козятинського р-ну Вінницької обл.) 	с. Збраж Козятинського р-ну Вінницької обл.	49.4945841	28.8592377	Zbarazh, Vinnytsia Oblast, Ukraine, 22165	"Зап. Кудрицька А. М. у с. Збраж  на Київщині (нині Козятинського р-ну Вінницької обл.) від Са
врони Криволапи .– ІМФЕ, ф. 6-4, од. зб. 111, арк. 35 (53-54), № 11."	Vinnytsia_ballads_550_Oj u sadu vyshnja
Vinnytsia_ballads_551_Oj na hori jachmin'	04-БК-05а	Ой на горі ячмінь 	Oj na hori jachmin'	Non-ritual	Ballad	БК	1972	Василенко З. І., Рубай Г. Т., Довженок Г. В.	Слюсар М. К., Слюсар П. С., Татюк Я. Н.	2 voices		 фонозапис ф. 14-10, од. зб. 1251 (6). Розшифр. Виноградов Г. В.	– ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 61		с. Кармалюкове Жмеринського р-ну Вінницької обл.	с. Кармалюкове Жмеринського р-ну Вінницької обл.	49.1535629	27.954607	Karmalyukove, Vinnytsia Oblast, Ukraine, 23120	"Зап. у липні 1972 р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., 
Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну Вінниць-
кої обл. від Слюсар М. К., Слюсар П. С., Татюк Я. Н. – ІМФЕ, 
ф. 14-5, од. зб. 424/ІІІ, арк. 61; фонозапис ф. 14-10, од. зб. 1251 
(6). Розшифр. Виноградов Г. В."	Vinnytsia_ballads_551_Oj na hori jachmin'
Vinnytsia_ballads_552_Oj u poli kyrnychen'ka	04-БК-08	Ой у полі кирниченька	Oj u poli kyrnychen'ka	Non-ritual	Ballad	БК	1922	Кудрицька А. М.	Д. Нагірної.	unison			– ІМФЕ, ф. 6-4, од. зб. 110, арк. 2-3, № 25 (текст), арк. 131, № 25 (мел.).		с. Дружне Калинівського р-ну Вінницької обл.)	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Дружне Калинівського р-ну Вінницької обл.) від Д. Нагірної. – 
ІМФЕ, ф. 6-4, од. зб. 110, арк. 2-3, № 25 (текст), арк. 131, № 25 (мел.). Вар. зап. Мельник П. Я. у с. 
Коси Могилів-Подільського р-ну від Антонюк Д. І., – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 160."	Vinnytsia_ballads_552_Oj u poli kyrnychen'ka
Vinnytsia_ballads_552v_Oj u poli kyrnychen'ka	04-БК-08	Ой у полі кирниченька	Oj u poli kyrnychen'ka	Non-ritual	Ballad	БК	-	Мельник П. Я.	Антонюк Д. І.,	unison			– ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 160.		с. Коси Могилів-Подільського р-ну 	с. Коси Могилів-Подільського р-ну	48.28	28.114	Kosy, Vinnytsia Oblast, Ukraine, 24130	"Зап. 1922 р. Кудрицька А. М. у с. Дружне Калинівського р-ну Вінницької обл.) від Д. Нагірної. – 
ІМФЕ, ф. 6-4, од. зб. 110, арк. 2-3, № 25 (текст), арк. 131, № 25 (мел.). Вар. зап. Мельник П. Я. у с. 
Коси Могилів-Подільського р-ну від Антонюк Д. І., – ІМФЕ, ф. 14-3, од. зб. 907/ІІ, арк. 160."	Vinnytsia_ballads_552v_Oj u poli kyrnychen'ka
Vinnytsia_ballads_553_Oj bulo v bat'ka dvi dochky	05-БК-01	Ой було в батька дві дочки	Oj bulo v bat'ka dvi dochky	Non-ritual	Ballad	БК	1922	Кудрицька А. М.	Дарки Нагірної.	unison			"– ІМФЕ, ф. 6-4, од. зб. 110, арк. 17 (текст), 
арк. 135 (мел.)."		"с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.)"	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче Бердичівського пов. на Київщині (нині с. Дружне Кали-
нівського р-ну Вінницької обл.) від Дарки Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 17 (текст), 
арк. 135 (мел.)."	Vinnytsia_ballads_553_Oj bulo v bat'ka dvi dochky
Vinnytsia_ballads_554_Oj Tetjana, Tetjana	05-БК-05	Ой Тетяна, Тетяна	Oj Tetjana, Tetjana	Non-ritual	Ballad	БК	1951	Василенко З. І., Васильченко О. В.	Баранчук Г. Я.	unison			– ІМФЕ, ф. 14-5, од. зб. 243, арк. 45.		"с. Ометинці Немирівського р-ну Вінниць-
кої обл."	с. Ометинці Немирівського р-ну Вінниць-кої обл.	48.9693249	29.1084407	Ometyntsi, Vinnytsia Oblast, Ukraine, 22862	"Зап. 12.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Ометинці Немирівського р-ну Вінниць-
кої обл. від Баранчук Г. Я. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 45. Вар. зап. Лисенко М. В. у с. Карпі-
вка Могилівського пов. Подольської губ. (нині Могилів-Подільського р-ну Вінницької обл.). – 
ІМФЕ, ф. 24-5, од. зб. 30, арк. 8, № 3."	Vinnytsia_ballads_554_Oj Tetjana, Tetjana
Vinnytsia_ballads_554v_Oj Tetjana, Tetjana	05-БК-05	Ой Тетяна, Тетяна	Oj Tetjana, Tetjana	Non-ritual	Ballad	БК	-	Лисенко М. В.	-	unison			– ІМФЕ, ф. 24-5, од. зб. 30, арк. 8, № 3.		с. Карпівка Могилівського пов. Подольської губ. (нині Могилів-Подільського р-ну Вінницької обл.).	с. Карпівка Могилів-Подільського р-ну Вінницької обл.	48.4780305	27.8471653	Karpivka, Vinnytsia Oblast, Ukraine, 24045	"Зап. 12.ІХ 1951 р. Василенко З. І., Васильченко О. В. у с. Ометинці Немирівського р-ну Вінниць-
кої обл. від Баранчук Г. Я. – ІМФЕ, ф. 14-5, од. зб. 243, арк. 45. Вар. зап. Лисенко М. В. у с. Карпі-
вка Могилівського пов. Подольської губ. (нині Могилів-Подільського р-ну Вінницької обл.). – 
ІМФЕ, ф. 24-5, од. зб. 30, арк. 8, № 3."	Vinnytsia_ballads_554v_Oj Tetjana, Tetjana
Vinnytsia_ballads_555_Ljubyv kozak divku	05-БК-09а, б	Любив козак дівку	Ljubyv kozak divku	Non-ritual	Ballad	БК	2011	Гарбулінська Тетяна	Ющинської М. П. та Сторожук А. Р. 	2 voices			З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., № 10 (54).		с. Думенки Хмільницького р-ну Вінницької обл.	с. Думенки Хмільницького р-ну Вінницької обл.	49.5248357	27.7956771	Dumenky, Vinnytsia Oblast, Ukraine, 22055	"Зап. 24 листопада 2011 р. Гарбулінська Т. Є. у с. Думенки Хмільницького р-ну Вінницької обл. від 
Ющинської М. П. та Сторожук А. Р. З фондів Вінницького ОЦНТ. Розшифр. Єфремова Л. О., 
№ 10 (54)."	Vinnytsia_ballads_555_Ljubyv kozak divku
Vinnytsia_ballads_556_Teche richka nevelychka	05-БК-10	Тече річка невеличка	Teche richka nevelychka	Non-ritual	Ballad	БК	1922	Кудрицька А. М.	Д. Нагірної.	unison			– ІМФЕ, ф. 6-4, од. зб. 110, арк. 44 (текст), арк. 140 (мел.).		"с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.)
"	с. Дружне Калинівського р-ну Вінницької обл.	49.4650264	28.8099915	Druzhne, Vinnytsia Oblast, Ukraine, 22453	"Зап. 1922 р. Кудрицька А. М. у с. Овечаче (нині с. Дружне Калинівського р-ну Вінницької обл.)
 від Д. Нагірної. – ІМФЕ, ф. 6-4, од. зб. 110, арк. 44 (текст), арк. 140 (мел.). Вар. зап. у липні 1972 
р. експ. ІМФЕ (Василенко З. І., Рубай Г. Т., Довженок Г. В.) у с. Кармалюкове Жмеринського р-ну 
Вінницької обл. від Слюсар М. К., Голуб Г. С. – ІМФЕ, ф. 14-5, од. зб. 424/ІІІ, арк. 71; фонозапис 
ф. 14-10, од. зб. 1252 (3). Розшифр. Виноградов Г. В. Вар. 1 зап. у лютому 2007 р. Кушка Т. Я., 
Матіяш Д. В. у с. Устя Бершадського р-ну Вінницької обл. Розшифр. Єфремова Л. О. № 52 (432)."	Vinnytsia_ballads_556_Teche richka nevelychka
