filename,year,place,performer,collector,archive reference,original metadata
Kmeln_ballads_547.Chervona kalyno_4st_(singl)_6+8_(09-БК-05).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 233. Вар. зап. 1987 р. Гримич М. 
у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С., Захарець О. Р.  – ІМФЕ, 
ф. 14-5, од. зб. 508, арк. 13, плівка ф. 14-10, од. зб. 1676. Мел. ред. Єфремова Л. О."
Kmeln_ballads_547v.Chervona kalyno_6st_(2voices)_6+6_(09-БК-05).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 233. Вар. зап. 1987 р. Гримич М. 
у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С., Захарець О. Р.  – ІМФЕ, 
ф. 14-5, од. зб. 508, арк. 13, плівка ф. 14-10, од. зб. 1676. Мел. ред. Єфремова Л. О."
Kmeln_ballads_548.Oi u luzi na kalyni_3st_(singl)_8+8_(09-БК-08).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 33."
Kmeln_ballads_549.Oi u luzi pry kalyni_5st_(singl)_8+8_(09-БК-08).xml,1986,,,,,"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Нас-
тиної В.П. Нотація Єфремової Л. О."
Kmeln_ballads_550.Oi u lisi na dubochku_5st_(2voices)_8+8_r_(09-БК-08).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С., 
1907 р. н., Захарець О. Р., 1921 р. н. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 18, фонозапис ф. 14-10, од. 
зб. 1676. Мел. ред. Єфремова Л. О. "
"Kmeln_ballads_551.Chy tobi, kovaliu_4st_(singl)_6+6_(09-БК-11).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 76, № 48."
"Kmeln_ballads_552.Oi kovale, kovalenku_2st_(2voices)_8+8_(09-БК-11).xml",1974,,,,,Зап. 1974 р. Нагорний Л. С. у с. Карпівці Хмельницького р-ну Хмельницької обл. від Гнідої Н. Д.
"Kmeln_ballads_553.Oi ty, kovaliu_6st_(singl)_5+6_r_(09-БК-11).xml",1978,,,,,"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н., Сухаревої Марії Іллівни, 
1930 р. н. і Гуменюк Марії Улянівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 141-142 (текст), 
арк. 249 (мел.), № 98. Нотація Мишанича М. В."
"Kmeln_ballads_554.Kovaliu, kovaliu_6st_(singl)_6+6_(09-БК-11).xml",1987,,,,,"Зап. у червні 1987 р. Гримич М.В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Улано-
вої Г. С. – ІМФЕ, ф. 14-5, од. зб. 509, арк. 51. Мел. ред. Єфремова Л. О."
"Kmeln_ballads_555.Choho, soloveiku_4st_(2voices)_6+6_(09-БК-13).xml",1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 237."
Kmeln_ballads_556.Na yaponskim bierehu_6st_(singl)_7+6_r_(09-БК-13).xml,2004,,,,,"Зап. у серпні 2004 р. Панчук О. В. у с. Ключівка Красилівського р-ну Хмельницької обл. від Коно-
нюк Ганни Федорівни, 1923 р. н. – Касета № 5, ст. А, № 21. Розшифр. Єфремової Л. О., № 100."
Kmeln_ballads_557.Yikhav kozak dolynoiu_4st_(singl)_8+8_(10-БК-02).xml,1986,,,,,"Зап. 28 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1937 р. н. Нотація Єфремової Л. О."
Kmeln_ballads_558.Molodyi kozache_6st_(singl)_6+6_r_(10-БК-04+08-БК-11).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
–.ІМФЕ, ф. 6-4, од. зб. 119, арк. 91, № 60."
"Kmeln_ballads_559.Ne khody, kozache_6st_(singl)_6+6_r_(10-БК-04).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 27, № 15. Вар. зап. 1980 р. Нагорний Л. С. у с. Баламутівка Ярмо-
линецького р-ну Хмельницької обл."
"Kmeln_ballads_559v.Ne khody, kozache_6st_(2voices)_6+6_r_(10-БК-04).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 27, № 15. Вар. зап. 1980 р. Нагорний Л. С. у с. Баламутівка Ярмо-
линецького р-ну Хмельницької обл."
"Kmeln_ballads_561.Oi ty, divchyno_6st_(singl)_5+6_(11-БК-01).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 72, № 45."
Kmeln_ballads_562.Shcho ty robysh_6st_(singl)_4+4+3_(11-БК-01).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 30, № 17."
Kmeln_ballads_563.Ya z suboty_6st_(singl)_4+4+3_(11-БК-02).xml,1928,,,,,"Зап. 1928 р. Харків В. у с. Борсуки Новоушицького р-ну Хмельницької обл. – ІМФЕ, ф. 6-3, од. зб.
81, арк. 124 (текст), арк. 128 (мел.), № 45."
Kmeln_ballads_564.Oi za shcho ty_9st_(2voices)_4+5+3_(11-БК-02).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 142 зв.-143."
Kmeln_ballads_565.Shcho ty robysh_9st_(singl)_4+4+3_r_(11-БК-02).xml,1971,,,,,"Зап. 25.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Шипіної Н. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 302-304, пл. ф. 
14-10, од. зб. 1184 (1). Нотація Іванова В. Ф. "
Kmeln_ballads_566.Ya v horodi Bohuslavi_6st_(singl)_8+6_r_(11-БК-03).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гарнець 
Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 123 (текст), арк. 246 (мел. розш. 
Мишанич М. В.), № 87."
Kmeln_ballads_567.Oi stoiav ya pid verboiu_8st_(singl)_8+8_r_(11-БК-03).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 44, № 25."
Kmeln_ballads_568.Oi u poli ozerechko_4st_(singl)_8+8_(11-БР-05).xml,1924,,,,,"Зап. 1924 р. Кудрицька А. М. у с. Овечаче Вінницької окр. на Поділлі (нині с. Дружне Калинів-
ського р-ну Вінницької обл.) від Хими Якимовни Максимчук, родом з с. Великий Чернятин Він-
ницької окр. на Поділлі (нині Старокостянтинівського р-ну Хмельницької обл.). Більшість пісень, 
проспіваних мені нею, вона перейняла від своєї бабуні в Чернятині. (А. К.) – ІМФЕ, ф. 6-4, од. зб. 
110, арк. 114 (текст), арк. 162 (мел.)."
Kmeln_ballads_569.Oi u poli ozerechko_8st_(2voices)_8+8_r_(11-БР-05).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 172."
Kmeln_ballads_570.Oi u poli ozerechko_6st_(singl)_8+8_r_(11-БР-05).xml,1971,,,,,"Зап. 23.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Руденко М. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 258-260, пл. ф. 
14-10, од. зб. 1183 (8). Нотація Іванова В. Ф. "
"Kmeln_ballads_571.Ty, misiatsiu-perekroiu_8st_(2voices)_8+8_r_(11-БР-05).xml",1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
47-48, пл. ф. 14-10, од. зб. 1177 (24). Нотація Ю. Василенка. Вар. зап. Іванов В. у с. Стара Ушиця
Кам’янець-Подільського р-ну від Івануник Люби, 1946 р. н. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 10. "
"Kmeln_ballads_571v.Ty, misiatsiu-perekroiu_8st_(singl)_8+8_r_(11-БР-05).xml",1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від гурту. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 
47-48, пл. ф. 14-10, од. зб. 1177 (24). Нотація Ю. Василенка. Вар. зап. Іванов В. у с. Стара Ушиця
Кам’янець-Подільського р-ну від Івануник Люби, 1946 р. н. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 10."
Kmeln_ballads_572.Oi u poli ozerechko_8st_(singl)_8+8_r_(11-БР-05).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С., 
1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фонозапис ф. 14-10, од. 
зб. 1677. "
Kmeln_ballads_573.Oi poikhav mii mylyi_5st_(singl)_7+7+5_(11-БР-08).xml,1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м Кам’я-
нець-Подільський від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 106-107, пл. ф. 14-10, од. зб. 1180 (7). Нотація З. Василенко."
"Kmeln_ballads_574.Oi ty, sad, ty mii sad_6st_(2voices)_6+5_r_(11-БР-08).xml",1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 180."
Kmeln_ballads_575.Oi vyidu ya na horu_3st_(singl)_7+7+7_(11-БР-10).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 109, № 74. Вар. зап. Струтинський О. Д. у с.
Сенігів Шепетівського р-ну Хмельницької обл. від Осінської Броніслави Мартинівни. – ІМФЕ,
ф. 14-3, од. зб. 860, арк. 194. "
Kmeln_ballads_575v.Oi vyidu ya na horu_3st_(2voices)_7+7+7_(11-БР-10).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 109, № 74. Вар. зап. Струтинський О. Д. у с.
Сенігів Шепетівського р-ну Хмельницької обл. від Осінської Броніслави Мартинівни. – ІМФЕ,
ф. 14-3, од. зб. 860, арк. 194. "
Kmeln_ballads_576.Khodyt Ivan ponad lyman_3st_(singl)_8+9_(13-БР-01).xml,1926,,,,,"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Ганусі Сухорибової, 19 р. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 25 (13), № 35."
Kmeln_ballads_577.Khody Ivan ponad Dunai_2st_(singl)_8+6_(13-БР-01).xml,1927,,,,,"Зап. 1927 р. Харків В. у с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл. від Парас-
ки Сікурихи, 70 р. – ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 56 (46), мел. – арк. 59 (49), № 42. Вар. 1 
зап. 1927-1928 рр. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від Балашевич Домни, 13 р. – ІМФЕ, ф.6-3, од.зб. 77, арк. 
112 (91), № 24. Вар. 2 зап. Харків В. у с. Борсуки  Новоушицького р-ну від Ткачука Мехтодія, 50 р. 
– ІМФЕ, ф. 6-4, од. зб. 193, арк. 31. Розш. Онопа Т."
"Kmeln_ballads_578.Oi piana ya, azh valiusia_3st_(singl)_8+8+8_(13-БР-01а).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 126, № 85."
Kmeln_ballads_579.Oi piana ya ta y khyliusia_3st_(2voices)_8+8+8_(13-БР-01а).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 241 зв."
Kmeln_ballads_580.Mala maty odnu dochku_3st_(singl)_8+8+8_(13-БР-01б).xml,2003,,,,,"Зап. у серпні 2003 р. Панчук О. В. у с. Гриців Шепетівського р-ну Хмельницької обл. від Панчук 
Марії Пилипівни, 1936 р. н. – Касета № 2, ст. А, № 5. Нотація та ред. тексту Єфремової Л. О. № 26.
Вар. зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 28 (14 зв.), № 40."
Kmeln_ballads_580v.Mala maty odnu dochku_3st_(singl)_8+8+8_(13-БР-01б).xml,2003,,,,,"Зап. у серпні 2003 р. Панчук О. В. у с. Гриців Шепетівського р-ну Хмельницької обл. від Панчук 
Марії Пилипівни, 1936 р. н. – Касета № 2, ст. А, № 5. Нотація та ред. тексту Єфремової Л. О. № 26.
Вар. зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 28 (14 зв.), № 40."
Kmeln_ballads_581.Posiiu shalviiu_6st_(2voices)_6+6_r_(13-БР-03).xml,1963,,,,,"Зап. 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Блищанівка Дунаєвецького р-ну Хмельницької обл. 
– ІМФЕ, ф. 14-5, од. зб. 380, арк. 139-141, № 64. Вар. зап. Конощенко А. у с. Калюс Новоушицько-
го р-ну Хмельницької обл. від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 45 (зв.), № 81."
Kmeln_ballads_581v.Posiiu shalviiu_6st_(singl)_6+6_r_(13-БР-03).xml,1963,,,,,"Зап. 1963 р. експ. ІМФЕ, нач. Ященко Л. І. у c. Блищанівка Дунаєвецького р-ну Хмельницької обл. 
– ІМФЕ, ф. 14-5, од. зб. 380, арк. 139-141, № 64. Вар. зап. Конощенко А. у с. Калюс Новоушицько-
го р-ну Хмельницької обл. від Н. Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 45 (зв.), № 81."
Kmeln_ballads_582.y Posiiu shalviiu_6st_(singl)_6+6_r_(13-БР-03).xml,1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у с. Патрин-
ці Кам’янець-Подільського р-ну Хмельницької обл. від Горошок Ганни Миколаївни, 1923 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 51-52, пл. ф. 14-10, од. зб. 1178 (2). Нотація Ю. Василенка. "
Kmeln_ballads_583.i Posiiu shalviiu_6st_(singl)_6+6_r_(13-БР-03).xml,1978,,,,,"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н., Сухаревої Марії Іллівни, 
1930 р. н. і Гуменюк Марії Улянівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 138 (текст), арк. 
248 (мел.), № 95. Нотація Мишанича М. В."
"Kmeln_ballads_584.Dala-s mene, mamtsiu_4st_(singl)_6+6_(13-БР-03).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.106, № 72. Вар. зап. Харків В. у с. Борсуки  Новоушицького р-ну 
від Ткачука Мехтодія, 50 р. – ІМФЕ, ф. 6-4, од. зб. 193, арк. 30. Розш. Онопа Т."
"Kmeln_ballads_584v.Dala-s mene, mamtsiu_4st_(singl)_8+6_(13-БР-03).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.106, № 72. Вар. зап. Харків В. у с. Борсуки  Новоушицького р-ну 
від Ткачука Мехтодія, 50 р. – ІМФЕ, ф. 6-4, од. зб. 193, арк. 30. Розш. Онопа Т."
"Kmeln_ballads_585.Dala-s mene, moia nenko_4st_(singl)_8+6_(13-БР-04).xml",1978,,,,,"Зап. 23 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 147-148 (текст), арк. 251 (мел.), № 
102. Нотація Мишанича М. В."
Kmeln_ballads_586.i Dala-s mene moia maty_4st_(singl)_8+6_(13-БР-04).xml,1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької 
обл. від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 60-61 (текст), арк. 
233 (мел.), № 42. Нотація Мишанича М. В."
Kmeln_ballads_587.Oi pidu ya v lis po drova_4st_(singl)_8+6_(13-БР-06).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.104, № 70."
Kmeln_ballads_588.Oi tam za horoiu_6st_(singl)_6+6_r_(13-БР-06).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.111, № 75."
"Kmeln_ballads_589.Pusty mene, mylyi_6st_(2voices)_6+6_r_(13-БР-06).xml",1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 168 зв.-169.Ґ"
Kmeln_ballads_590.Oi pidu ya v lis po drova_4st_(singl)_8+6_(13-БР-06).xml,1971,,,,,"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 128-130, пл. ф. 14-10, од. зб. 1181 (5). Нотація Іванова В. Ф."
Kmeln_ballads_591.Oi pidu ya v lis po drova_6st_(2voices)_8+6_(13-БР-06).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 
1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В. Вар. 1 зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від 
Уланової Г. С., 1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фоноза-
пис ф. 14-10, од. зб. 1677. Вар. 2 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл. від Адамчук М. А."
Kmeln_ballads_591v1.Oi pidu ya v lis po drova_6st_(singl)_8+6_r_(13-БР-06).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 
1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В. Вар. 1 зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від 
Уланової Г. С., 1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фоноза-
пис ф. 14-10, од. зб. 1677. Вар. 2 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл. від Адамчук М. А."
Kmeln_ballads_591v2.Oi pidu ya v lis po drova_6st_(2voices)_8+6_r_(13-БР-06).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новушицького р-ну Хмельницької обл. від Розової 
Марії Василівни, 1930 р. н., Куцяк Олександри Миколаївни, 1922 р. н. і Сухаревої Марії Іллівни, 
1930 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 118 (текст), арк. 245 (мел.), № 83. Нотація Мишанича 
М. В. Вар. 1 зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від 
Уланової Г. С., 1907 р. н. Мел. ред. Єфремова Л. О. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 30, фоноза-
пис ф. 14-10, од. зб. 1677. Вар. 2 зап. 1987 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького 
р-ну Хмельницької обл. від Адамчук М. А."
Kmeln_ballads_592.Oi pidu ya v lis po drova_4st_(singl)_8+6_(13-БР-06).xml,1995,,,,,"Зап. 1995 р. Панчук О. В. у с. Гриців Шепетівського р-ну Хмельницької обл. від Панчук Олени 
Онуфріївни, 1932 р. н. Касета № 1, ст. А, № 6. Нотація та ред. тексту Єфремової Л. О. № 11."
Kmeln_ballads_593.Yak poikhav_4st_(singl)_4+6_(13-БР).xml,1971,,,,,"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 119-120, пл. ф. 14-10, од. зб. 1181 (3). "
Kmeln_ballads_594.Yide mylyi u pole oraty_4st_(2voices)_4+6_(13-БР).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 170 зв.-171."
Kmeln_ballads_595.Des poikhav syn Vaniusha_6st_(2voices)_8+6_r_(14-БР-01).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С., 
Захарець О. Р. – ІМФЕ, ф. 14-5, од. зб. 508, арк. 9. Мел. ред. Єфремова Л. О."
Kmeln_ballads_596.Vyriazhala maty_4st_(singl)_6+6_(14-БР-02).xml,2003,,,,,"Зап. у серпні 2003 р. Панчук О. В. у с. Гриців Шепетівського р-ну Хмельницької обл. від Панчук 
Марії Пилипівни, 1936 р. н., Панчук Людмили Іванівни, 1966 р. н. – Касета № 2, ст. А, № 1. Нота-
ція та ред. тексту Єфремової Л. О. № 28."
Kmeln_ballads_597.Bula sobi Hanzia_4st_(2voices)_6+6_(14-БР-02).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 177 зв.-178. Вар. 1 зап. 1927-1928 
рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.) від Шевчук Ольги. – ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75б. Чeрнет-
ка. Вар. 2 зап. 1927-1928 рр. Харків В. Й. у с. Вітківці від Дрегуш Дони. – ІМФЕ, ф.6-3, од.зб. 77, 
арк. 55 (45), № 75а. Чeрнетка."
Kmeln_ballads_597v1.Bula sobi Hanzia_4st_(singl)_5+6_(14-БР-03).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 177 зв.-178. Вар. 1 зап. 1927-1928 
рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського 
р-ну Хмельницької обл.) від Шевчук Ольги. – ІМФЕ, ф.6-3, од.зб. 77, арк. 55 (45), № 75б. Чeрнет-
ка. Вар. 2 зап. 1927-1928 рр. Харків В. Й. у с. Вітківці від Дрегуш Дони. – ІМФЕ, ф.6-3, од.зб. 77, 
арк. 55 (45), № 75а. Чeрнетка."
